# opusid, pds_location, start_time, obs_name
co-vims-v1618880503_ir, COVIMS_0036/data/2009110T001853_2009110T002100/v1618880503_1.qub, 2009-04-20T00:20:44.794, VIMS_109TI_LMBMAP002
co-vims-v1618880505_ir, COVIMS_0036/data/2009110T001853_2009110T002100/v1618880505_1.qub, 2009-04-20T00:20:46.811, VIMS_109TI_LMBMAP002
co-vims-v1618880507_ir, COVIMS_0036/data/2009110T001853_2009110T002100/v1618880507_1.qub, 2009-04-20T00:20:48.828, VIMS_109TI_LMBMAP002
co-vims-v1618880509_ir, COVIMS_0036/data/2009110T001853_2009110T002100/v1618880509_1.qub, 2009-04-20T00:20:50.845, VIMS_109TI_LMBMAP002
co-vims-v1618880512_ir, COVIMS_0036/data/2009110T001853_2009110T002100/v1618880512_1.qub, 2009-04-20T00:20:52.862, VIMS_109TI_LMBMAP002
co-vims-v1618880514_ir, COVIMS_0036/data/2009110T001853_2009110T002100/v1618880514_1.qub, 2009-04-20T00:20:54.879, VIMS_109TI_LMBMAP002
co-vims-v1618880516_ir, COVIMS_0036/data/2009110T001853_2009110T002100/v1618880516_1.qub, 2009-04-20T00:20:56.896, VIMS_109TI_LMBMAP002
co-vims-v1618880518_ir, COVIMS_0036/data/2009110T001853_2009110T002100/v1618880518_1.qub, 2009-04-20T00:20:58.910, VIMS_109TI_LMBMAP002
co-vims-v1618880520_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880520_1.qub, 2009-04-20T00:21:00.924, VIMS_109TI_LMBMAP002
co-vims-v1618880522_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880522_1.qub, 2009-04-20T00:21:02.944, VIMS_109TI_LMBMAP002
co-vims-v1618880524_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880524_1.qub, 2009-04-20T00:21:04.961, VIMS_109TI_LMBMAP002
co-vims-v1618880526_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880526_1.qub, 2009-04-20T00:21:06.978, VIMS_109TI_LMBMAP002
co-vims-v1618880528_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880528_1.qub, 2009-04-20T00:21:08.995, VIMS_109TI_LMBMAP002
co-vims-v1618880530_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880530_1.qub, 2009-04-20T00:21:11.012, VIMS_109TI_LMBMAP002
co-vims-v1618880532_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880532_1.qub, 2009-04-20T00:21:13.026, VIMS_109TI_LMBMAP002
co-vims-v1618880534_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880534_1.qub, 2009-04-20T00:21:15.046, VIMS_109TI_LMBMAP002
co-vims-v1618880536_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880536_1.qub, 2009-04-20T00:21:17.060, VIMS_109TI_LMBMAP002
co-vims-v1618880538_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880538_1.qub, 2009-04-20T00:21:19.076, VIMS_109TI_LMBMAP002
co-vims-v1618880540_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880540_1.qub, 2009-04-20T00:21:21.093, VIMS_109TI_LMBMAP002
co-vims-v1618880542_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880542_1.qub, 2009-04-20T00:21:23.110, VIMS_109TI_LMBMAP002
co-vims-v1618880544_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880544_1.qub, 2009-04-20T00:21:25.127, VIMS_109TI_LMBMAP002
co-vims-v1618880546_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880546_1.qub, 2009-04-20T00:21:27.141, VIMS_109TI_LMBMAP002
co-vims-v1618880548_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880548_1.qub, 2009-04-20T00:21:29.161, VIMS_109TI_LMBMAP002
co-vims-v1618880550_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880550_1.qub, 2009-04-20T00:21:31.175, VIMS_109TI_LMBMAP002
co-vims-v1618880552_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880552_1.qub, 2009-04-20T00:21:33.192, VIMS_109TI_LMBMAP002
co-vims-v1618880554_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880554_1.qub, 2009-04-20T00:21:35.206, VIMS_109TI_LMBMAP002
co-vims-v1618880556_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880556_1.qub, 2009-04-20T00:21:37.226, VIMS_109TI_LMBMAP002
co-vims-v1618880558_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880558_1.qub, 2009-04-20T00:21:39.243, VIMS_109TI_LMBMAP002
co-vims-v1618880560_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880560_1.qub, 2009-04-20T00:21:41.257, VIMS_109TI_LMBMAP002
co-vims-v1618880562_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880562_1.qub, 2009-04-20T00:21:43.277, VIMS_109TI_LMBMAP002
co-vims-v1618880564_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880564_1.qub, 2009-04-20T00:21:45.291, VIMS_109TI_LMBMAP002
co-vims-v1618880566_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880566_1.qub, 2009-04-20T00:21:47.308, VIMS_109TI_LMBMAP002
co-vims-v1618880568_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880568_1.qub, 2009-04-20T00:21:49.325, VIMS_109TI_LMBMAP002
co-vims-v1618880570_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880570_1.qub, 2009-04-20T00:21:51.342, VIMS_109TI_LMBMAP002
co-vims-v1618880572_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880572_1.qub, 2009-04-20T00:21:53.359, VIMS_109TI_LMBMAP002
co-vims-v1618880574_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880574_1.qub, 2009-04-20T00:21:55.376, VIMS_109TI_LMBMAP002
co-vims-v1618880576_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880576_1.qub, 2009-04-20T00:21:57.393, VIMS_109TI_LMBMAP002
co-vims-v1618880578_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880578_1.qub, 2009-04-20T00:21:59.407, VIMS_109TI_LMBMAP002
co-vims-v1618880580_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880580_1.qub, 2009-04-20T00:22:01.421, VIMS_109TI_LMBMAP002
co-vims-v1618880582_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880582_1.qub, 2009-04-20T00:22:03.440, VIMS_109TI_LMBMAP002
co-vims-v1618880584_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880584_1.qub, 2009-04-20T00:22:05.458, VIMS_109TI_LMBMAP002
co-vims-v1618880586_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880586_1.qub, 2009-04-20T00:22:07.474, VIMS_109TI_LMBMAP002
co-vims-v1618880588_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880588_1.qub, 2009-04-20T00:22:09.491, VIMS_109TI_LMBMAP002
co-vims-v1618880590_ir, COVIMS_0036/data/2009110T002102_2009110T002309/v1618880590_1.qub, 2009-04-20T00:22:11.508, VIMS_109TI_LMBMAP002
