# opusid, pds_location, start_time, obs_name
co-vims-v1694489981_ir, COVIMS_0048/data/2011255T024828_2011255T025035/v1694489981_1.qub, 2011-09-12T02:50:05.381, VIMS_153TI_SOLOCC001
co-vims-v1694489983_ir, COVIMS_0048/data/2011255T024828_2011255T025035/v1694489983_1.qub, 2011-09-12T02:50:07.395, VIMS_153TI_SOLOCC001
co-vims-v1694489985_ir, COVIMS_0048/data/2011255T024828_2011255T025035/v1694489985_1.qub, 2011-09-12T02:50:09.412, VIMS_153TI_SOLOCC001
co-vims-v1694489987_ir, COVIMS_0048/data/2011255T024828_2011255T025035/v1694489987_1.qub, 2011-09-12T02:50:11.428, VIMS_153TI_SOLOCC001
co-vims-v1694489989_ir, COVIMS_0048/data/2011255T024828_2011255T025035/v1694489989_1.qub, 2011-09-12T02:50:13.445, VIMS_153TI_SOLOCC001
co-vims-v1694489991_ir, COVIMS_0048/data/2011255T024828_2011255T025035/v1694489991_1.qub, 2011-09-12T02:50:15.462, VIMS_153TI_SOLOCC001
co-vims-v1694489993_ir, COVIMS_0048/data/2011255T024828_2011255T025035/v1694489993_1.qub, 2011-09-12T02:50:17.500, VIMS_153TI_SOLOCC001
co-vims-v1694489995_ir, COVIMS_0048/data/2011255T024828_2011255T025035/v1694489995_1.qub, 2011-09-12T02:50:19.496, VIMS_153TI_SOLOCC001
co-vims-v1694489997_ir, COVIMS_0048/data/2011255T024828_2011255T025035/v1694489997_1.qub, 2011-09-12T02:50:21.535, VIMS_153TI_SOLOCC001
co-vims-v1694489999_ir, COVIMS_0048/data/2011255T024828_2011255T025035/v1694489999_1.qub, 2011-09-12T02:50:23.551, VIMS_153TI_SOLOCC001
co-vims-v1694490001_ir, COVIMS_0048/data/2011255T024828_2011255T025035/v1694490001_1.qub, 2011-09-12T02:50:25.568, VIMS_153TI_SOLOCC001
co-vims-v1694490003_ir, COVIMS_0048/data/2011255T024828_2011255T025035/v1694490003_1.qub, 2011-09-12T02:50:27.584, VIMS_153TI_SOLOCC001
co-vims-v1694490005_ir, COVIMS_0048/data/2011255T024828_2011255T025035/v1694490005_1.qub, 2011-09-12T02:50:29.602, VIMS_153TI_SOLOCC001
co-vims-v1694490007_ir, COVIMS_0048/data/2011255T024828_2011255T025035/v1694490007_1.qub, 2011-09-12T02:50:31.616, VIMS_153TI_SOLOCC001
co-vims-v1694490009_ir, COVIMS_0048/data/2011255T024828_2011255T025035/v1694490009_1.qub, 2011-09-12T02:50:33.636, VIMS_153TI_SOLOCC001
co-vims-v1694490011_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490011_1.qub, 2011-09-12T02:50:35.650, VIMS_153TI_SOLOCC001
co-vims-v1694490013_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490013_1.qub, 2011-09-12T02:50:37.667, VIMS_153TI_SOLOCC001
co-vims-v1694490015_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490015_1.qub, 2011-09-12T02:50:39.684, VIMS_153TI_SOLOCC001
co-vims-v1694490017_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490017_1.qub, 2011-09-12T02:50:41.701, VIMS_153TI_SOLOCC001
co-vims-v1694490020_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490020_1.qub, 2011-09-12T02:50:43.718, VIMS_153TI_SOLOCC001
co-vims-v1694490022_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490022_1.qub, 2011-09-12T02:50:45.735, VIMS_153TI_SOLOCC001
co-vims-v1694490024_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490024_1.qub, 2011-09-12T02:50:47.752, VIMS_153TI_SOLOCC001
co-vims-v1694490026_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490026_1.qub, 2011-09-12T02:50:49.766, VIMS_153TI_SOLOCC001
co-vims-v1694490028_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490028_1.qub, 2011-09-12T02:50:51.783, VIMS_153TI_SOLOCC001
co-vims-v1694490030_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490030_1.qub, 2011-09-12T02:50:53.800, VIMS_153TI_SOLOCC001
co-vims-v1694490032_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490032_1.qub, 2011-09-12T02:50:55.816, VIMS_153TI_SOLOCC001
co-vims-v1694490034_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490034_1.qub, 2011-09-12T02:50:57.833, VIMS_153TI_SOLOCC001
co-vims-v1694490036_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490036_1.qub, 2011-09-12T02:50:59.850, VIMS_153TI_SOLOCC001
co-vims-v1694490038_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490038_1.qub, 2011-09-12T02:51:01.867, VIMS_153TI_SOLOCC001
co-vims-v1694490040_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490040_1.qub, 2011-09-12T02:51:03.881, VIMS_153TI_SOLOCC001
co-vims-v1694490042_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490042_1.qub, 2011-09-12T02:51:05.901, VIMS_153TI_SOLOCC001
co-vims-v1694490044_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490044_1.qub, 2011-09-12T02:51:07.915, VIMS_153TI_SOLOCC001
co-vims-v1694490046_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490046_1.qub, 2011-09-12T02:51:09.932, VIMS_153TI_SOLOCC001
co-vims-v1694490048_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490048_1.qub, 2011-09-12T02:51:11.949, VIMS_153TI_SOLOCC001
co-vims-v1694490050_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490050_1.qub, 2011-09-12T02:51:13.966, VIMS_153TI_SOLOCC001
co-vims-v1694490052_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490052_1.qub, 2011-09-12T02:51:15.980, VIMS_153TI_SOLOCC001
co-vims-v1694490054_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490054_1.qub, 2011-09-12T02:51:18.000, VIMS_153TI_SOLOCC001
co-vims-v1694490056_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490056_1.qub, 2011-09-12T02:51:20.014, VIMS_153TI_SOLOCC001
co-vims-v1694490058_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490058_1.qub, 2011-09-12T02:51:22.028, VIMS_153TI_SOLOCC001
co-vims-v1694490060_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490060_1.qub, 2011-09-12T02:51:24.048, VIMS_153TI_SOLOCC001
co-vims-v1694490062_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490062_1.qub, 2011-09-12T02:51:26.065, VIMS_153TI_SOLOCC001
co-vims-v1694490064_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490064_1.qub, 2011-09-12T02:51:28.079, VIMS_153TI_SOLOCC001
co-vims-v1694490066_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490066_1.qub, 2011-09-12T02:51:30.099, VIMS_153TI_SOLOCC001
co-vims-v1694490068_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490068_1.qub, 2011-09-12T02:51:32.116, VIMS_153TI_SOLOCC001
co-vims-v1694490070_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490070_1.qub, 2011-09-12T02:51:34.129, VIMS_153TI_SOLOCC001
co-vims-v1694490072_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490072_1.qub, 2011-09-12T02:51:36.146, VIMS_153TI_SOLOCC001
co-vims-v1694490074_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490074_1.qub, 2011-09-12T02:51:38.163, VIMS_153TI_SOLOCC001
co-vims-v1694490076_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490076_1.qub, 2011-09-12T02:51:40.180, VIMS_153TI_SOLOCC001
co-vims-v1694490078_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490078_1.qub, 2011-09-12T02:51:42.196, VIMS_153TI_SOLOCC001
co-vims-v1694490080_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490080_1.qub, 2011-09-12T02:51:44.214, VIMS_153TI_SOLOCC001
co-vims-v1694490082_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490082_1.qub, 2011-09-12T02:51:46.228, VIMS_153TI_SOLOCC001
co-vims-v1694490084_ir, COVIMS_0048/data/2011255T025037_2011255T025244/v1694490084_1.qub, 2011-09-12T02:51:48.248, VIMS_153TI_SOLOCC001
